Timestamp,Emotion,Confidence
2025-07-14T23:24:21.109224,Fear,46.6
2025-07-14T23:24:21.295569,Fear,47.4
2025-07-14T23:24:21.485119,Fear,54.6
2025-07-14T23:24:21.672770,Neutral,37.9
2025-07-14T23:24:21.852197,Neutral,45.3
2025-07-14T23:24:22.029688,Neutral,51.3
2025-07-14T23:24:22.215860,Neutral,37.3
2025-07-14T23:24:22.391557,Neutral,32.8
2025-07-14T23:24:22.574204,Neutral,46.6
2025-07-14T23:24:22.763516,Fear,36.8
2025-07-14T23:24:22.943643,Fear,45.9
2025-07-14T23:24:23.129087,Fear,44.1
2025-07-14T23:24:23.329367,Fear,56.9
2025-07-14T23:24:23.504280,Fear,43.9
2025-07-14T23:24:23.677644,Fear,47.2
2025-07-14T23:24:23.879249,Fear,44.3
2025-07-14T23:24:24.059281,Fear,38.5
2025-07-14T23:24:24.228212,Sad,34.8
2025-07-14T23:24:24.409576,Happy,99.6
2025-07-14T23:24:24.591870,Happy,99.9
2025-07-14T23:24:24.780037,Happy,99.7
2025-07-14T23:24:24.975725,Happy,99.1
2025-07-14T23:24:25.153907,Neutral,56.2
2025-07-14T23:24:25.347576,Neutral,58.7
2025-07-14T23:24:25.528033,Fear,47.3
2025-07-14T23:24:25.720471,Fear,33.3
2025-07-14T23:24:25.910773,Fear,37.8
2025-07-14T23:24:26.107436,Fear,31.1
2025-07-14T23:24:26.292321,Neutral,56.6
2025-07-14T23:24:26.478588,Happy,98.9
2025-07-14T23:24:26.652620,Happy,98.4
2025-07-14T23:24:26.836726,Happy,95.4
2025-07-14T23:24:27.022997,Happy,85.8
2025-07-14T23:24:27.207276,Happy,79.0
2025-07-14T23:24:27.380432,Happy,65.5
2025-07-14T23:24:27.943663,Neutral,38.1
2025-07-14T23:24:28.118831,Angry,30.7
2025-07-14T23:24:28.295276,Angry,31.4
2025-07-14T23:24:29.212458,Angry,33.9
2025-07-14T23:24:29.389588,Angry,35.9
2025-07-14T23:24:29.577705,Angry,32.0
2025-07-14T23:24:29.764917,Neutral,32.5
2025-07-14T23:24:29.949751,Neutral,37.6
2025-07-14T23:24:30.132796,Neutral,41.5
2025-07-14T23:24:30.309623,Neutral,32.7
2025-07-14T23:24:30.486697,Neutral,41.9
2025-07-14T23:24:30.663674,Angry,31.8
2025-07-14T23:24:30.906934,Neutral,37.4
2025-07-14T23:24:32.104853,Neutral,26.3
2025-07-14T23:24:32.328089,Angry,30.7
2025-07-14T23:24:32.986604,Happy,27.7
2025-07-14T23:24:33.252856,Neutral,33.0
2025-07-14T23:24:33.426164,Angry,28.3
2025-07-14T23:24:33.652357,Neutral,24.6
2025-07-14T23:24:33.826648,Neutral,28.4
2025-07-14T23:24:34.035921,Happy,28.1
2025-07-14T23:24:34.215781,Neutral,32.2
2025-07-14T23:24:34.398121,Neutral,27.4
2025-07-14T23:24:34.572975,Neutral,23.7
2025-07-14T23:24:34.757671,Neutral,33.7
2025-07-14T23:24:34.940495,Neutral,33.2
2025-07-14T23:24:35.124800,Neutral,42.7
2025-07-14T23:24:35.311841,Neutral,35.3
2025-07-14T23:24:35.577142,Neutral,30.9
2025-07-14T23:24:35.896452,Neutral,45.6
2025-07-14T23:24:36.100743,Neutral,33.9
2025-07-14T23:24:36.270272,Neutral,29.1
2025-07-14T23:24:36.443207,Neutral,37.4
2025-07-14T23:24:36.624060,Neutral,34.1
2025-07-14T23:24:36.813010,Neutral,38.3
2025-07-14T23:24:36.993602,Neutral,48.5
2025-07-14T23:24:37.174299,Neutral,49.5
2025-07-14T23:24:37.362792,Neutral,45.3
2025-07-14T23:24:37.552752,Neutral,31.5
2025-07-14T23:24:37.730536,Fear,40.6
2025-07-14T23:24:37.906383,Fear,34.0
2025-07-14T23:24:38.076459,Neutral,44.5
2025-07-14T23:24:38.269844,Fear,41.9
2025-07-14T23:24:38.457061,Fear,40.0
2025-07-14T23:24:38.676119,Angry,33.1
2025-07-14T23:24:38.867013,Fear,32.0
2025-07-14T23:24:39.076132,Fear,44.3
2025-07-14T23:24:39.267373,Neutral,29.7
2025-07-14T23:24:39.445073,Neutral,28.6
2025-07-14T23:24:39.654394,Neutral,49.4
2025-07-14T23:24:39.842130,Neutral,37.4
2025-07-14T23:24:40.036769,Neutral,52.2
2025-07-14T23:24:40.230742,Neutral,37.0
2025-07-14T23:24:40.435802,Neutral,41.7
2025-07-14T23:24:40.631383,Neutral,30.3
2025-07-14T23:24:40.837839,Neutral,47.5
2025-07-14T23:24:41.028041,Neutral,40.8
2025-07-14T23:24:41.201274,Neutral,33.0
2025-07-14T23:24:41.681639,Neutral,39.2
2025-07-14T23:24:41.975160,Neutral,34.1
2025-07-14T23:24:42.253343,Neutral,33.7
2025-07-14T23:24:42.488482,Neutral,30.9
Timestamp,Emotion,Confidence
2025-07-14 23:26:53.608048,Happy,30.78
2025-07-14 23:26:53.828860,Happy,32.14
2025-07-14 23:26:54.560790,Happy,34.42
2025-07-14 23:26:54.746962,Happy,23.90
2025-07-14 23:26:54.937181,Happy,25.46
2025-07-14 23:26:55.150423,Neutral,27.62
2025-07-14 23:26:55.355147,Neutral,36.66
2025-07-14 23:26:55.548390,Neutral,31.02
2025-07-14 23:26:55.735428,Neutral,36.89
2025-07-14 23:26:55.928758,Fear,26.31
2025-07-14 23:26:56.114122,Fear,27.17
2025-07-14 23:26:56.298289,Fear,29.07
2025-07-14 23:26:56.513551,Neutral,31.21
2025-07-14 23:26:56.708295,Neutral,39.11
2025-07-14 23:26:56.948626,Fear,45.96
2025-07-14 23:26:57.128773,Neutral,32.40
2025-07-14 23:26:57.342858,Neutral,36.34
2025-07-14 23:26:57.531737,Neutral,36.96
2025-07-14 23:26:57.725355,Neutral,38.10
2025-07-14 23:26:57.900699,Neutral,30.52
